MP db name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,Notes (State's Averages)
Arvind Kumar Chaudhary,Elected,18-May-09,In office,Uttar Pradesh,Basti,Bahujan Samaj Party,Male,Inter/ Higher Secondary,,46,1,0,6,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Arvind Kumar Sharma,Elected,18-May-09,In office,Haryana,Karnal,Indian National Congress,Male,Post Graduate,"B.D.S., M.D.S.; Eduated at Gujarat University, Ahmedabad, M.D. University, Rohtak",46,4,0,14,81%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,33,73%,
Asaduddin Owaisi,Elected,18-May-09,In office,Andhra Pradesh,Hyderabad,All India Majlis-E-Ittehadul Muslimmen,Male,Graduate,"LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",41,13,0,329,70%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Ashok Argal,Elected,18-May-09,In office,Madhya Pradesh,Bhind,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at Morena Board of Secondary Education, Madhya Pradesh",41,10,0,23,82%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Ashok Kumar Rawat,Elected,18-May-09,In office,Uttar Pradesh,Misrikh,Bahujan Samaj Party,Male,Post Graduate,"M.A.; Educated at Lucknow University, Lucknow, Uttar Pradesh",34,8,0,309,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Ashok Tanwar,Elected,18-May-09,In office,Haryana,Sirsa,Indian National Congress,Male,Post Graduate,"M.A., M.Phil (History); Educated at Jawahar Lal Nehru University, New Delhi",34,0,0,0,83%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,33,73%,
Ashwamedh Devi,Elected,18-May-09,In office,Bihar,Ujiarpur,Janata Dal (United),Female,Under Matric,"Educated at Govt. Middle School, Bajitpur Meyari, Sarai Ranjan, Samastipur, Bihar",42,0,0,0,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Asrarul Haque Mohammad,Elected,18-May-09,In office,Bihar,Kishanganj,Indian National Congress,Male,Post Graduate,"Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh",68,7,0,8,93%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Avtar Singh Bhadana,Elected,18-May-09,In office,Haryana,Faridabad,Indian National Congress,Male,Under Matric,,52,4,0,42,54%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,33,73%,
Awale Jaywant Gangaram,Elected,18-May-09,In office,Maharashtra,Latur,Indian National Congress,Male,Inter/ Higher Secondary,,70,13,0,117,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Babu Lal Marandi,Elected,18-May-09,In office,Jharkhand,Kodarma,Jharkhand Vikas Morcha (Prajatantrik),Male,Graduate,"Educated at Ranchi University, Ranchi, Jharkhand",52,2,0,0,37%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.6,0.3,78,59%,
Badri Ram Jakhar,Elected,18-May-09,In office,Rajasthan,Pali,Indian National Congress,Male,Under Matric,,57,1,0,22,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Badruddin Ajmal,Elected,18-May-09,In office,Assam,Dhubri,Assam United Democratic Front,Male,Post Graduate,"Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh",60,12,0,67,65%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.2,0,17,80%,
Baidyanath Prasad Mahto,Elected,18-May-09,In office,Bihar,Valmiki Nagar,Janata Dal (United),Male,Matric,"Educated at H.S. Bathanaha, West Champaran (Bihar) ",63,7,0,93,91%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Baijayant Jay Panda,Elected,18-May-09,In office,Orissa,Kendrapara,Biju Janata Dal,Male,Graduate,"Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.",46,7,7,294,63%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Baju Ban Riyan,Elected,18-May-09,In office,Tripura,Tripura East,Communist Party of India (Marxist),Male,Graduate,"B.Sc.; Educated at Maharaja Bira Bikram College, Agartala, Tripura",69,3,0,0,74%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6,0,1,68%,
Bal Kumar Patel,Elected,18-May-09,In office,Uttar Pradesh,Mirzapur,Samajwadi Party,Male,Inter/ Higher Secondary,"Educated at Bhauri Intermediate College, Distt. Chitrakoot, Uttar Pradesh",46,3,0,52,93%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Baliram,Elected,18-May-09,In office,Uttar Pradesh,Lalganj,Bahujan Samaj Party,Male,Doctorate,"M.A., M.Ed., Ph.D.; Educated at Banaras Hindu University (BHU), Varanasi, Uttar Pradesh",56,12,0,80,85%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Baliram Kashyap,Elected,18-May-09,In office,Chhattisgarh,Bastar,Bharatiya Janata Party,Male,Under Matric,,74,0,0,0,2%,Complete attendance for this MP is not available (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,20,64%,
Balkrishna Khanderao Shukla,Elected,18-May-09,In office,Gujarat,Vadodara,Bharatiya Janata Party,Male,Post Graduate,"B.Sc., MBA (HRM); Educated at M.S. University of Baroda, Vadodara (Gujarat) ",46,1,0,40,68%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Bansagopal Chowdhury,Elected,18-May-09,In office,West Bengal,Asansol,Communist Party of India (Marxist),Male,Graduate,"Educated at T.D.B. College, Raniganj, West Bengal",50,8,0,2,71%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Bapiraju Kanumuri,Elected,18-May-09,In office,Andhra Pradesh,Narsapuram,Indian National Congress,Male,Inter/ Higher Secondary,Educated at Hyderabad Public School,63,4,0,0,97%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Basori Singh Masram,Elected,18-May-09,In office,Madhya Pradesh,Mandla,Indian National Congress,Male,Under Matric,"Educated at Higher Secondary School, Bichhiya and Middle School, Tatri, Distt. Mandla, Madhya Pradesh",64,1,0,9,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Basudeb Acharia,Elected,18-May-09,In office,West Bengal,Bankura,Communist Party of India (Marxist),Male,Post Graduate,"M.A., B.T.; Educated at Ranchi University, Ranchi, Bihar and Calcutta University, Calcutta, West Bengal",68,54,6,79,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Beni Prasad Verma,Elected,18-May-09,In office,Uttar Pradesh,Gonda,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Lucknow University, Lucknow, Uttar Pradesh",69,2,0,0,99%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Bhajan Lal,Elected,18-May-09,In office,Haryana,Hisar,Haryana Janhit Congress,Male,Inter/ Higher Secondary,"Educated at Government College, Bahawal Nagar (Now in Pakistan) ",79,0,0,0,47%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,33,73%,
Bhakta Charan Das,Elected,18-May-09,In office,Orissa,Kalahandi,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Government College, Bhawanipatna, Kalahandi, Orissa and L. R. Law College, Sambalpur (Orissa) ",51,13,0,60,89%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Bharat Ram Meghwal,Elected,18-May-09,In office,Rajasthan,Ganganagar,Indian National Congress,Male,Graduate,"B.A., B.Ed.; Educated at Rajasthan University, Jaipur and Kota",54,2,0,32,91%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Bharatsinh Madhavsinh Solanki,Elected,18-May-09,In office,Gujarat,Anand,Indian National Congress,Male,Graduate,B.E. (Civil); Educated at Birla Vishwakarma Mahavidyalay,56,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bhartruhari Mahtab,Elected,18-May-09,In office,Orissa,Cuttack,Biju Janata Dal,Male,Post Graduate,"M.A. (English); Educated at Utkal University, (Orissa) ",52,79,0,100,96%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Bhavana Pundlikrao Gawali Patil,Elected,18-May-09,In office,Maharashtra,Yavatmal-Washim,Shiv Sena,Female,Graduate,"B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",38,2,0,101,61%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
"Bhismashankar, Alias Kushal Tiwari",Elected,18-May-09,In office,Uttar Pradesh,Sant Kabir Nagar,Bahujan Samaj Party,Male,Inter/ Higher Secondary,,49,13,0,80,76%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Bhola Singh,Elected,18-May-09,In office,Bihar,Nawada,Bharatiya Janata Party,Male,Doctorate,"M.A., Ph.D.; Educated at Patna University and Lalit Narayan Mithila University, Darbhanga, Bihar",75,34,0,91,93%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Bhoopendra Singh,Elected,18-May-09,In office,Madhya Pradesh,Sagar,Bharatiya Janata Party,Male,Graduate,L.L.B.; Educated at Sagar University (Madhya Pradesh) ,50,3,0,111,67%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Bhudeo Choudhary,Elected,18-May-09,In office,Bihar,Jamui,Janata Dal (United),Male,Graduate,"B.A., LL.B.; Educated at T.N.V. Law College, Bhagalpur",50,7,0,23,93%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Bibhu Prasad Tarai,Elected,18-May-09,In office,Orissa,Jagatsinghpur,Communist Party of India,Male,Post Graduate,"M.A., LL.B.; Madhusudan Law College, Cuttack and Utkal University, Bhubaneshwar, Orissa",46,5,0,64,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Bijoy Krishna Handique,Elected,18-May-09,In office,Assam,Jorhat,Indian National Congress,Male,Post Graduate,"M.A.; Educated at Calcutta University, Calcutta (West Bengal) ",75,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bijoya Chakravarty,Elected,18-May-09,In office,Assam,Gauhati,Bharatiya Janata Party,Female,Post Graduate,"M.A. (English); Educated at Guwahati University, Guwahati, Assam and Banaras Hindu University, Varanasi (Uttar Pradesh) ",70,6,0,7,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.2,0,17,80%,
Biren Singh Engti,Elected,18-May-09,In office,Assam,Autonomous District,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Guwahati University, Assam",65,1,0,0,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.2,0,17,80%,
Bishnu Pada Ray,Elected,18-May-09,In office,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bharatiya Janata Party,Male,Graduate,"B.Com. (Hons.); Educated at Andamohan College, Calcutta, West Bengal",60,24,0,65,82%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,24,0,65,82%,
Brij Bhushan Sharan Singh,Elected,18-May-09,In office,Uttar Pradesh,Kaiserganj,Samajwadi Party,Male,Post Graduate,"M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh) ",53,15,0,76,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
C. L. Ruala,Elected,18-May-09,In office,Mizoram,Mizoram,Indian National Congress,Male,Post Graduate,"B.A., B.T.; Educated at St. Edmund`s college Shillong, Gauhati University",74,2,0,3,97%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2,0,3,97%,
C. M. Chang,Elected,18-May-09,In office,Nagaland,Nagaland,Nagaland People's Front,Male,Graduate,"B.A; Educated at High School, Mokochung, Nagaland and St. Edmund`s College Shillong, Guwahati University",67,0,0,0,93%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,0,0,0,93%,
C. P. Joshi,Elected,18-May-09,In office,Rajasthan,Bhilwara,Indian National Congress,Male,Doctorate,"M.Sc. (Physics.), M.A. (Psychology), L.LB. Ph.D.; Educated at M.B. College, Udaipur, Rajasthan",60,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
C. R. Patil,Elected,18-May-09,In office,Gujarat,Navsari,Bharatiya Janata Party,Male,Certificate Course,"I.T.I; Educated at Industrial Training Institute, Surat",55,3,0,47,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
C. Rajendran,Elected,18-May-09,In office,Tamil Nadu,Chennai South,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A., B.L.; Educated at Madras Law College",50,6,0,78,60%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
C. Sivasami,Elected,18-May-09,In office,Tamil Nadu,Tiruppur,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,M.A.; Madurai Kamraj University (Tamil Nadu) ,53,17,0,140,71%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
Chandra Sekhar Kalva Kuntla Rao,Elected,18-May-09,In office,Andhra Pradesh,Mahabubnagar,Telangana Rashtra Samithi,Male,Post Graduate,"M.A. (Litt); Educated at Osmania University, Hyderabad, Andhra Pradesh",56,0,0,0,3%,Complete attendance for this MP is not available (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Chandrakant Bhaurao Khaire,Elected,18-May-09,In office,Maharashtra,Aurangabad,Shiv Sena,Male,Graduate,"B.Sc. (1st Year), Diploma in Personnel Management; Educated at Marathawada University, Aurangabad, Maharashtra",58,10,0,206,62%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Chandresh Kumari Katoch,Elected,18-May-09,In office,Rajasthan,Jodhpur,Indian National Congress,Female,Under Graduate,"Educated at Nazrath Convent School, St. Mary`s School, Puna, St. Hildas School, Ooty Educated at St. Hildas-Ooty",66,3,0,18,78%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Chandu Lal Sahu,Elected,18-May-09,In office,Chhattisgarh,Mahasamund,Bharatiya Janata Party,Male,Graduate,"B.Com., LL.B.; Educated at Rajiv Lochan College, Rajim and; Durga College, Raipur",51,2,0,18,77%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,20,64%,
Charan Das Mahant,Elected,18-May-09,In office,Chhattisgarh,Korba,Indian National Congress,Male,Doctorate,"M.Sc., M.A., LL.B., Ph.D.; Educated at Motilal Vigyan Mahavidhyalay, Bhopal University and Barkatulla University, Bhopal (Madhya Pradesh) ",55,11,0,78,94%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,20,64%,
Charles Dias,Nominated,18-Sep-09,In office,Kerala,,Indian National Congress,Male,Doctorate,"M.A., Ph.D, Diploma in Office Management, Diploma in Personnel Management and Diploma in Labour Law; Educated at University of Calicut and Annamalai University",59,9,0,0,100%, (All data updated till 4th Aug 2010),5.6,0.2,53,79%,11.7,0.2,79,90%,
Chaudhary Lal Singh,Elected,18-May-09,In office,Jammu and Kashmir,Udhampur,Indian National Congress,Male,Graduate,"B.A.; Educated at Government Degree College, Kathua,; Jammu and Kashmir",51,31,0,73,89%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.2,0,40,87%,
